Numero Par,Caracteres Diferentes,LCS DP (len),Tempo DP (s),Mem DP (MB),LCS Rec (len),Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec
1,0,5,7.790001109242439e-05,0.0022029876708984375,5,1.7700018361210823e-05,0.0017223358154296875,6
2,1,4,6.009999196976423e-05,0.0022020339965820312,4,0.00011720001930370927,0.0028848648071289062,123
3,2,3,6.619998021051288e-05,0.002201080322265625,3,0.00016910000704228878,0.0028829574584960938,211
4,3,2,6.59999786876142e-05,0.0022001266479492188,2,0.00013830000534653664,0.0027980804443359375,197
5,4,1,6.0999998822808266e-05,0.00215911865234375,1,0.0003491999814286828,0.00274658203125,433
